count, actual, probability1, errorPercentage1, errorPercentage1, probability2, errorPercentage2, errorPercentage2, probability3, errorPercentage3, errorPercentage3,
10, 0.0064000000, 0.0000000000, 100.000, 100.000%, 0.0000000000, 100.000, 100.000%, 0.0000000000, 100.000, 100.000%, 
100, 0.0064000000, 0.0000000000, 100.000, 100.000%, 0.0000000000, 100.000, 100.000%, 0.0000000000, 100.000, 100.000%, 
1000, 0.0064000000, 0.0000000000, 100.000, 100.000%, 0.0000000000, 100.000, 100.000%, 0.0000000000, 100.000, 100.000%, 
10000, 0.0064000000, 0.0100000000, 56.250, 56.250%, 0.0000000000, 100.000, 100.000%, 0.0200000000, 212.500, 212.500%, 
100000, 0.0064000000, 0.0070000000, 9.375, 9.375%, 0.0050000000, 21.875, 21.875%, 0.0060000000, 6.250, 6.250%, 
1000000, 0.0064000000, 0.0079000000, 23.438, 23.438%, 0.0061000000, 4.687, 4.687%, 0.0065000000, 1.562, 1.562%, 
10000000, 0.0064000000, 0.0064900000, 1.406, 1.406%, 0.0064300000, 0.469, 0.469%, 0.0063400000, 0.938, 0.938%, 
100000000, 0.0064000000, 0.0065470000, 2.297, 2.297%, 0.0064030000, 0.047, 0.047%, 0.0065290000, 2.016, 2.016%, 
