Count,Probability,Actual,
1,0.0000E+00,3.81E-06,
10,0.0000E+00,3.81E-06,
100,0.0000E+00,3.81E-06,
1000,0.0000E+00,3.81E-06,
10000,0.0000E+00,3.81E-06,
100000,6.0000E-06,3.81E-06,
1000000,3.70E-06,3.81E-06,
10000000,3.5900E-06,3.81E-06,
100000000,3.8740E-06,3.81E-06,
