total percentage true
10 0.300000 3
10 0.300000 3
10 0.100000 1
10 0.400000 4
10 0.300000 3
10 0.400000 4
10 0.200000 2
10 0.400000 4
10 0.400000 4
10 0.300000 3
100 0.320000 32
100 0.320000 32
100 0.270000 27
100 0.290000 29
100 0.190000 19
100 0.200000 20
100 0.220000 22
100 0.280000 28
100 0.150000 15
100 0.230000 23
1000 0.249000 249
1000 0.254000 254
1000 0.254000 254
1000 0.279000 279
1000 0.259000 259
1000 0.274000 274
1000 0.258000 258
1000 0.252000 252
1000 0.275000 275
1000 0.247000 247
10000 0.260700 2607
10000 0.251800 2518
10000 0.251800 2518
10000 0.261600 2616
10000 0.263000 2630
10000 0.255900 2559
10000 0.250900 2509
10000 0.259800 2598
10000 0.263900 2639
10000 0.251600 2516
100000 0.260640 26064
100000 0.260310 26031
100000 0.259500 25950
100000 0.260620 26062
100000 0.260620 26062
100000 0.259790 25979
100000 0.259400 25940
100000 0.261670 26167
100000 0.260450 26045
100000 0.261570 26157
1000000 0.260105 260105
1000000 0.260738 260738
1000000 0.260086 260086
1000000 0.260300 260300
1000000 0.259567 259567
1000000 0.260002 260002
1000000 0.260385 260385
1000000 0.260151 260151
1000000 0.260313 260313
1000000 0.260848 260848
10000000 0.260528 2605278
10000000 0.260325 2603245
10000000 0.260350 2603495
10000000 0.260319 2603187
10000000 0.260398 2603985
10000000 0.260366 2603662
10000000 0.260302 2603025
10000000 0.260636 2606363
10000000 0.260835 2608351
10000000 0.260137 2601373
100000000 0.260531 26053087
100000000 0.260558 26055771
100000000 0.260485 26048459
100000000 0.260468 26046828
100000000 0.260491 26049063
100000000 0.260492 26049156
100000000 0.260522 26052184
100000000 0.260479 26047875
100000000 0.260410 26041039
100000000 0.260503 26050313
1000000000 0.260499 260499256
1000000000 0.260449 260448672
1000000000 0.260445 260445240
1000000000 0.260462 260462267
1000000000 0.260481 260480712
1000000000 0.260488 260487949
1000000000 0.260445 260445028
1000000000 0.260465 260464788
1000000000 0.260467 260466692
1000000000 0.260458 260457692
