Count,Probability,Actual,
1,0.0000E+00,6.40E-05,
10,0.0000E+00,6.40E-05,
100,0.0000E+00,6.40E-05,
1000,0.0000E+00,6.40E-05,
10000,9.50E-05,6.40E-05,
100000,7.2500E-05,6.40E-05,
1000000,6.3800E-05,6.40E-05,
10000000,6.3400E-05,6.40E-05,
100000000,6.4143E-05,6.40E-05,
