Count,Probability,Actual,
1,0.00000E+00,8.4999E-06,
10,0.00000E+00,8.4999E-06,
100,0.00000E+00,8.4999E-06,
1000,0.00000E+00,8.4999E-06,
10000,1.50000E-05,8.4999E-06,
100000,4.50000E-06,8.4999E-06,
1000000,7.55000E-06,8.4999E-06,
10000000,8.43500E-06,8.4999E-06,
100000000,8.47800E-06,8.4999E-06,
