Count,Probability,Actual,
1,0.000E+00,2.1433E-05,
10,0.000E+00,2.1433E-05,
100,0.000E+00,2.1433E-05,
1000,0.000E+00,2.1433E-05,
10000,2.00E-05,2.1433E-05,
100000,2.25E-05,2.1433E-05,
1000000,2.070E-05,2.1433E-05,
10000000,2.081E-05,2.1433E-05,
100000000,2.152E-05,2.1433E-05,
