Count,A Start with 5 Coin,A Start with 6 Coin,A Start with 7 Coin
1,0.2,0.45,0.45
10,0.115,0.25,0.53
100,0.1285,0.2445,0.495
1000,0.1232,0.2433,0.49855
10000,0.12165,0.248815,0.49702
100000,0.121503,0.247582,0.497855
1000000,0.12161,0.246896,0.498154
10000000,0.12161,0.247078,0.498021
100000000,0.121568,0.24705813,0.49803
