Count, Probability_1, Probability_2, Probability_3,
10, 0.0000000000, 20.0000000000, 20.0000000000, 
100, 15.0000000000, 6.0000000000, 13.0000000000, 
1000, 11.9000000000, 11.9000000000, 12.5000000000, 
10000, 11.6000000000, 12.2700000000, 12.5200000000, 
100000, 12.0490000000, 12.0610000000, 12.2590000000, 
1000000, 12.1600000000, 12.1495000000, 12.1466000000, 
10000000, 12.1331600000, 12.1536900000, 12.1712900000, 
100000000, 12.1605850000, 12.1593990000, 12.1567460000, 
