Count, Probability_1, Probability_2, Probability_3,
10, 10.0000000000, 30.0000000000, 40.0000000000, 
100, 20.0000000000, 29.0000000000, 21.0000000000, 
1000, 23.7000000000, 24.9000000000, 26.7000000000, 
10000, 25.4500000000, 24.5300000000, 24.8900000000, 
100000, 24.6310000000, 24.5690000000, 24.5600000000, 
1000000, 24.6069000000, 24.7466000000, 24.7481000000, 
10000000, 24.6995800000, 24.7085900000, 24.7209600000, 
100000000, 24.7128580000, 24.7015370000, 24.7117130000, 
