Count, Probability_1, Probability_2, Probability_3,
10, 50.0000000000, 40.0000000000, 60.0000000000, 
100, 51.0000000000, 51.0000000000, 52.0000000000, 
1000, 47.2000000000, 50.7000000000, 49.4000000000, 
10000, 50.2000000000, 50.4500000000, 49.4000000000, 
100000, 49.9060000000, 49.8610000000, 49.7430000000, 
1000000, 49.8639000000, 49.8283000000, 49.8118000000, 
10000000, 49.8032500000, 49.8036600000, 49.7983800000, 
100000000, 49.8094430000, 49.8143320000, 49.8029070000, 
