Count,Result,Actual
10,0.226667,0.24609375
100,0.250333,0.24609375
1000,0.25,0.24609375
10000,0.24513,0.24609375
100000,0.246066,0.24609375
1000000,0.246046,0.24609375
10000000,0.246081,0.24609375
100000000,0.246096,0.24609375
